Music;Slow songs or fast songs;Dance;Folk;Country;Classical_music;Musical;Pop;Rock;Metal or Hardrock;Punk;Hiphop_Rap;Reggae_Ska;Swing_Jazz;Rock_n_roll;Alternative;Latino;Techno_Trance;Opera;Movies;Horror;Thriller;Comedy;Romantic;Sci-fi;War;Fantasy/Fairy tales;Animated;Documentary;Western;Action;History;Psychology;Politics;Mathematics;Physics;Internet;PC;Economy Management;Biology;Chemistry;Reading;Geography;Foreign languages;Medicine;Law;Cars;Art exhibitions;Religion;Countryside, outdoors;Dancing;Musical instruments;Writing;Passive sport;Active sport;Gardening;Celebrities;Shopping;Science and technology;Theatre;Fun with friends;Adrenaline sports;Pets;Flying;Storm;Darkness;Heights;Spiders;Snakes;Rats;Ageing;Dangerous dogs;Fear of public speaking;Smoking;Alcohol;Healthy eating;Daily events;Prioritising workload;Writing notes;Workaholism;Thinking ahead;Final judgement;Reliability;Keeping promises;Loss of interest;Friends versus money;Funniness;Fake;Criminal damage;Decision making;Elections;Self-criticism;Judgment calls;Hypochondria;Empathy;Eating to survive;Giving;Compassion to animals;Borrowed stuff;Loneliness;Cheating in school;Health;Changing the past;God;Dreams;Charity;Number of friends;Punctuality;Lying;Waiting;New environment;Mood swings;Appearence and gestures;Socializing;Achievements;Responding to a serious letter;Children;Assertiveness;Getting angry;Knowing the right people;Public speaking;Unpopularity;Life struggles;Happiness in life;Energy levels;Small - big dogs;Personality;Finding lost valuables;Getting up;Interests or hobbies;Parents' advice;Questionnaires or polls;Internet usage;Finances;Shopping centres;Branded clothing;Entertainment spending;Spending on looks;Spending on gadgets;Spending on healthy eating;Age;Height;Weight;Number of siblings;Number of children;Gender;Left - right handed;Marital status;Education;Only child;Village - town;House - block of flats
5;1;2;2;1;3;3;2;2;1;1;2;1;3;2;5;3;2;1;5;5;4;3;1;5;2;5;5;5;1;2;3;5;3;1;1;5;5;4;2;1;5;3;3;3;4;1;2;1;2;5;2;1;5;5;3;5;3;3;3;5;1;1;1;1;1;3;1;1;1;1;4;3;I do smoke;I do not drink;2;5;3;2;2;1;1;3;4;1;5;3;1;5;5;5;2;5;1;5;5;3;5;3;1;5;2;1;3;5;3;1;After time of meeting;Only for the good of others;3;3;3;3;1;1;3;5;5;1;2;5;1;3;5;5;1;3;5;5;5;5;2;Several hours;2;1;1;1;3;2;2;36;176;70;2;1;female;right-handed;single;College;no;city;block of flats
5;4;1;1;1;3;1;2;5;3;5;1;3;2;1;1;1;1;3;5;1;3;5;1;2;3;5;5;5;1;4;5;3;5;1;1;5;3;1;1;1;5;5;3;2;4;1;3;3;3;1;1;1;3;1;1;2;3;2;4;5;3;2;1;5;5;5;3;5;3;1;5;3;I used to, but I do not anymore;I only drink when offered;3;4;2;2;4;5;1;3;4;3;5;4;2;5;5;5;5;5;3;5;3;2;3;5;2;4;3;3;3;3;1;4;Just in time;Never;1;5;3;4;3;4;5;5;4;4;3;3;3;3;4;4;1;3;5;5;3;4;1;Several hours;3;2;1;5;4;5;4;20;165;52;1;0;female;right-handed;single;College;no;town or village;house
5;2;2;3;2;5;5;5;4;1;1;2;2;5;3;2;3;2;3;5;1;2;5;5;5;5;5;5;5;2;5;5;3;3;4;4;5;5;4;4;2;5;5;3;3;3;2;5;2;4;5;1;5;5;2;3;4;4;4;5;5;2;5;3;2;2;2;2;3;2;1;2;1;I have not even tried;I only drink when offered;2;3;2;3;4;4;1;5;5;3;5;3;2;5;4;3;5;5;3;5;1;5;5;4;3;3;4;5;4;4;3;3;Just in time;Only for the good of others;2;3;5;3;3;3;5;3;4;3;3;1;3;4;4;4;3;3;3;1;5;3;4;Several hours;5;3;1;1;1;2;3;18;168;55;1;0;female;left-handed;single;College;no;town or village;house
5;5;4;1;1;1;4;5;1;1;1;4;2;1;1;1;5;5;3;5;5;5;5;5;5;5;5;5;5;3;5;4;4;2;1;1;5;3;3;1;1;2;2;4;2;2;5;2;1;5;5;2;2;5;5;4;5;5;5;5;5;5;5;1;3;3;3;5;5;5;2;4;4;I do smoke;I only drink when offered;4;3;5;5;5;5;4;5;5;1;5;5;2;3;3;2;2;3;1;4;2;4;5;4;3;4;4;1;3;4;3;5;Before time of meeting;Only for the good of others;3;3;3;5;4;3;4;4;5;3;5;5;5;5;5;5;4;4;3;2;4;4;4;Several hours;4;5;3;4;4;3;4;28;180;76;1;0;female;right-handed;single;University (Bachelor);no;city;block of flats
5;2;3;2;1;3;3;5;4;3;3;1;3;3;3;3;3;2;3;4;4;5;4;1;1;1;4;5;4;1;1;2;4;2;1;2;4;4;2;5;4;4;2;5;5;3;3;5;4;5;2;1;2;3;1;3;3;4;5;3;5;2;5;4;4;2;4;2;5;3;5;5;1;I have tried;I do not drink;3;3;5;4;5;3;3;4;4;2;4;4;3;2;5;5;3;5;5;5;2;3;5;5;2;3;4;3;5;3;3;3;Before time of meeting;Always when it suits me;3;2;4;3;2;4;2;3;4;4;4;5;4;4;4;4;1;3;5;4;3;3;3;Several hours;5;3;3;2;2;2;4;24;163;67;1;0;female;right-handed;single;University (Masters);no;town or village;house
5;5;5;3;3;2;2;3;3;1;1;5;5;4;1;1;2;5;1;5;1;2;5;5;2;5;5;5;4;3;2;3;4;1;1;1;4;4;5;1;1;4;2;1;1;1;5;1;1;5;3;1;1;2;1;2;5;3;2;1;5;2;5;3;2;4;2;5;5;3;1;5;5;I used to, but I do not anymore;I only drink when offered;3;3;2;5;2;3;1;3;3;3;3;1;2;3;5;4;5;4;1;5;3;1;5;5;3;3;3;5;1;3;1;4;Before time of meeting;Rarely;4;4;2;5;5;4;5;4;5;5;4;5;4;3;4;4;2;4;3;5;3;3;2;Several hours;2;5;3;2;3;1;2;19;154;60;2;0;female;right-handed;single;College;yes;city;block of flats
5;3;3;1;1;2;3;4;5;3;5;3;4;3;4;5;1;2;3;5;4;5;5;5;5;5;5;5;5;1;5;3;4;2;1;1;5;5;3;3;3;5;1;5;1;3;3;5;3;5;5;1;1;1;5;4;5;5;3;5;5;3;5;3;3;3;5;5;5;5;1;5;3;I used to, but I do not anymore;I only drink when offered;4;3;3;5;3;3;3;5;5;4;5;3;1;5;5;5;5;5;3;5;5;5;5;5;5;3;3;5;5;1;2;1;Before time of meeting;Rarely;3;3;3;5;5;3;5;3;2;3;1;5;5;5;1;1;3;1;3;3;1;4;3;Few minutes;4;4;3;3;3;1;1;21;161;57;3;0;female;right-handed;single;College;no;town or village;house
5;2;1;1;1;1;1;2;5;4;1;1;3;4;4;4;2;1;1;4;1;4;4;2;3;3;4;4;4;1;1;1;2;2;1;1;1;1;1;2;1;2;1;2;1;1;1;2;1;3;1;1;1;4;1;1;1;1;1;4;5;1;1;2;2;4;3;5;2;1;1;3;2;I do smoke;I only drink when offered;3;1;1;1;1;1;1;5;4;2;5;3;1;1;4;4;5;5;1;5;1;2;5;5;1;5;3;3;4;2;4;3;Just in time;Rarely;3;5;3;2;2;1;4;4;4;4;1;3;5;4;4;4;4;3;5;5;1;2;3;Few minutes;3;1;1;4;1;1;4;22;160;65;1;0;female;right-handed;single;University (Masters);no;city;house
5;3;3;3;1;5;1;2;3;1;2;2;3;5;3;5;3;2;4;5;2;4;4;3;4;2;5;5;5;1;3;3;4;1;1;1;3;2;2;1;1;5;2;4;2;1;1;5;3;4;1;1;5;1;1;1;1;2;4;5;5;1;1;1;1;1;5;5;3;3;1;3;2;I have tried;I only drink when offered;3;4;2;5;5;2;1;4;4;1;5;3;2;1;4;4;4;5;2;5;2;2;3;4;3;5;3;1;3;3;1;5;After time of meeting;Only for the good of others;3;3;5;3;5;2;3;1;3;3;4;2;5;4;4;3;3;3;1;4;4;2;1;Several hours;1;1;1;4;2;1;4;19;180;77;1;0;male;right-handed;single;College;no;city;block of flats
5;3;5;3;2;4;5;5;3;2;4;3;2;2;2;1;2;3;3;5;1;3;4;5;3;1;5;5;3;1;3;2;3;3;2;1;5;2;3;2;1;5;3;3;2;3;1;4;2;4;4;5;2;5;3;2;5;5;2;4;4;2;5;3;3;5;3;4;4;5;3;4;3;I have tried;I only drink when offered;3;3;1;3;4;3;3;3;3;1;3;2;2;1;5;4;3;3;1;5;2;5;4;5;4;4;3;3;3;4;1;2;After time of meeting;Rarely;3;5;3;4;3;3;5;5;5;3;3;4;4;5;4;3;3;3;3;2;3;4;5;Several hours;4;2;3;2;2;2;3;18;164;56;2;0;female;right-handed;single;Primary or secondary school;no;city;block of flats
